Rank,City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
35,"Edmonton, Canada",166.02,101.79,57.39,78.49,72.74,3.65,29.73,29.54,32.11
36,"Pittsburgh, PA, United States",165.33,100.3,62.23,74.84,79.69,2.69,38.06,45.3,72.13
37,"Orlando, FL, United States",164.45,96.75,48.07,62.5,69.38,3.27,36.88,35.58,87.23
38,"Denver, CO, United States",163.12,117.39,56.85,68.92,73.96,4.38,36.56,42.8,56.28
39,"Anchorage, AK, United States",162.96,107.68,36.75,61.17,92.21,2.99,27.15,16.56,41.61
40,"Houston, TX, United States",162.52,135.77,36.11,71.67,66.11,2.21,41.63,56.08,85.53
41,"Salt Lake City, UT, United States",161.79,126.02,67.64,71.38,63.89,7.04,35.41,63.04,66.52
42,"Atlanta, GA, United States",161.61,120.43,38,67.34,76.22,3.79,42.18,44.85,89.73
43,"Washington, DC, United States",161.6,112.51,42.17,70.63,84.39,5,40.77,39.18,81.62
44,"Mississauga, Canada",160.45,85.26,57.98,70.65,72.16,7.7,38.79,24.25,58.72
45,"Oakland, CA, United States",159.34,92.3,36.18,78.9,89.59,7.97,37.69,35.39,96.4
46,"Montreal, Canada",156.81,85.11,70.85,64.78,68.65,7.26,39.53,33.21,52.37
47,"San Francisco, CA, United States",156.65,126.95,43.88,65.17,93.35,7.99,51.3,47.36,97.26
48,"Cleveland, OH, United States",156.09,79.05,35.33,82.94,75.64,1.88,33.74,36.64,73.11
49,"Honolulu, HI, United States",155.87,76.42,56.08,72.42,95.92,8.75,41.19,36.82,95.33
50,"Baltimore, MD, United States",152.45,102.72,25.39,76.57,73.33,2.56,31.14,50.38,81.24
51,"Phoenix, AZ, United States",150.8,115.89,47.9,66.58,66.73,3.43,31.87,57.03,53.76
52,"Miami, FL, United States",149.63,84.06,46.85,62.94,78.14,5.37,43.4,39.41,85.69
53,"Regina, Canada",148.98,95.96,47.41,67.79,71.8,4.52,17.2,37.03,14.28
54,"Toronto, Canada",148.69,85.21,60.16,75.87,75.69,12.37,44.98,37.77,65.35
55,"Las Vegas, NV, United States",148.18,109.9,43.81,55.81,68.92,3.17,27.36,53.11,57.4
56,"Milwaukee, WI, United States",147.94,77.38,31.45,65.73,80.96,3.29,28.54,29.54,60.96
57,"Chicago, IL, United States",146.58,106.32,35.19,66.41,80.38,4.05,42.07,43.52,66.11
58,"Winnipeg, Canada",142.6,92.69,43.06,68.82,71.45,3.91,31.47,37.46,24.67
59,"Hamilton, Canada",142.13,79.72,47.71,81.24,68.41,7.25,33.56,53.38,61.06
